			Rank 		 	Mining Method  		Location 		
	Year 	Bituminous Coal 	 Subbituminous Coal  	Lignite 	 Anthracite  	 Underground 	 Surface1 	East of Mississippi River  	 West of Mississippi River 	Total 	
	2004  	561,484,652 	 465,368,953  	83,539,698 	 1,705,567 	 367,557,255  	744,541,615  	484,795,840  	627,303,030  	1,112,098,870 	
	2005 	 571,177,133 	 474,675,461  	83,941,728 	 1,703,777 	 368,611,500  	762,886,599  	493,801,042  	637,697,057  	1,131,498,099 	
	2006  	561,631,018 	 515,332,638  	84,248,267 	 1,537,736 	 359,021,815  	803,727,844  	490,797,869  	671,951,790  	1,162,749,659 	
	2007 	 542,757,594 	 523,724,347  	78,584,915 	 1,568,489  	351,789,934  	794,845,411  	478,161,383  	668,473,962  	1,146,635,345 	
	2008 	 555,267,210 	 539,145,383  	75,683,638 	 1,712,438 	 357,079,371  	814,729,298  	493,342,095  	678,466,574  	1,171,808,669 	
	2009 	 504,101,778 	 496,421,871  	72,478,549 	 1,921,194 	 332,061,582  	742,861,810  	449,593,554  	625,329,838  	1,074,923,392 	
	2010 	 489,532,051 	 514,829,513  	78,230,494 	 1,776,090 	 337,154,614  	747,213,534  	446,196,808  	638,171,340  	1,084,368,148 	
	2011 	 525,995,943 	 486,295,739  	81,101,129 	 2,234,725 	 345,605,509  	750,022,027  	456,446,210  	639,181,326  	1,095,627,536 	
	2012 	 485,363,301 	 449,799,910  	78,927,292 	 2,367,915  	342,386,637  	674,071,781  	423,475,610  	592,982,808  	1,016,458,418 	
	2013 	 471,182,631 	 434,287,168  	77,228,703 	 2,143,277 	 341,684,553  	643,157,226  	407,340,833  	577,500,946 	 984,841,779 	
	2014 	 479,990,818 	 438,623,717  	79,487,116 	 1,947,107 	 354,703,991  	645,344,767  	409,520,451  	590,528,307  	1,000,048,758 	
	2015 	 404,426,770 	 419,514,932  	70,857,085 	 2,141,776  	306,821,302  	590,119,261  	348,977,735  	547,962,828 	 896,940,563 	
	2016 	 325,147,260 	 330,242,617  	71,309,951 	 1,664,670  	252,106,254  	476,258,244  	281,627,159  	446,737,339 	 728,364,498 	
	2017 	 353,519,714 	 351,502,385  	67,674,760 	 1,912,498  	273,128,860  	501,480,497  	304,429,935 	 470,179,422 	 774,609,357 	
	2018 	 357,226,100 	 340,007,405  	57,037,552 	 1,896,038  	275,361,378  	480,805,717  	310,662,897  	445,504,198 	 756,167,095 	
